unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_19019,2020,IA,BUCHANAN,-21,98.4,-28.9,-6,28.9,6,13.9,-15,-21,10774,22.1,0.7000000000000001,36,2,29
2020_19027,2020,IA,CARROLL,-38,99,-25.4,-6.5,25.4,6.5,-6.1,-31.6,-38,11335,23.4,2,29.6,1.3,31.5
2020_19037,2020,IA,CHICKASAW,-31.5,98.9,-34,-8.6,34,8.6,11.1,-22.9,-31.5,6631,17.8,2,31.2,1.5,27.3
2020_19039,2020,IA,CLARKE,-36.1,98.9,-29.5,-8.1,29.5,8.1,1.5,-28,-36.1,4670,15.9,7.000000000000001,26.3,1.3,26.2
2020_19041,2020,IA,CLAY,-39,98.3,-23.7,3.1,23.7,3.1,-18.4,-42.1,-39,8969,23.9,2,23.200000000000003,3,27.7
2020_19043,2020,IA,CLAYTON,-29,98.6,-29.8,-6.2,29.8,6.2,7,-22.8,-29,9594,17.1,2.6,27.4,1.4,29.9
2020_19045,2020,IA,CLINTON,-10.5,98.1,-28,-5.4,28,5.4,22.8,-5.1,-10.5,24687,19.3,1.5,24,2.6,31.9
2020_19051,2020,IA,DAVIS,-49.3,98.7,-28.6,-4.3,28.6,4.3,-16.4,-45,-49.3,4102,18.7,1.4,36.3,1.9,25.8
2020_19053,2020,IA,DECATUR,-39.4,98.3,-25.3,-10.1,25.3,10.1,-4.1,-29.3,-39.4,3804,26.5,2.4,20.7,2.4,34.2
2020_19055,2020,IA,DELAWARE,-35.3,98.4,-29.4,-5.7,29.4,5.7,-0.2,-29.6,-35.3,10003,17.4,0.7000000000000001,33.300000000000004,1.2,25.4
2020_19065,2020,IA,FAYETTE,-23,98.3,-31.3,-3.6,31.3,3.6,12,-19.4,-23,10186,18.3,1.3,22.1,1.4,30.8
2020_19067,2020,IA,FLOYD,-19.6,98.6,-29.5,-4.8,29.5,4.8,14.6,-14.8,-19.6,8032,19.6,3.5999999999999996,23.6,1.6,25.5
2020_19073,2020,IA,GREENE,-28.9,98.8,-23.3,-5.5,23.3,5.5,-0.1,-23.4,-28.9,5057,19.8,2,23.1,2.8,24.9
2020_19077,2020,IA,GUTHRIE,-36,98.3,-22.7,-3,22.7,3,-10.2,-33,-36,6371,20,1.5,32.300000000000004,2.5,22.5
2020_19079,2020,IA,HAMILTON,-26.9,98.5,-19.9,-4.4,19.9,4.4,-2.6,-22.6,-26.9,7943,24,4.3,30.4,1.9,26.9
2020_19081,2020,IA,HANCOCK,-44,98.6,-27.3,-3.3,27.3,3.3,-13.4,-40.7,-44,6172,22.1,1.7000000000000002,31.8,1.4,25.2
2020_19083,2020,IA,HARDIN,-32.1,98.3,-22.2,-3.2,22.2,3.2,-6.7,-28.9,-32.1,8989,21.5,2.6,26.1,1.7,33.3
2020_19089,2020,IA,HOWARD,-27.5,98.9,-41.4,-7,41.4,7,20.9,-20.5,-27.5,4958,18.6,1.4,27.6,1.6,27.2
2020_19097,2020,IA,JACKSON,-26.3,98.7,-36.2,-7,36.2,7,16.9,-19.3,-26.3,11135,19.7,1.1,29.4,3.5,28.5
2020_19099,2020,IA,JASPER,-21.7,98.4,-25.2,-3.6,25.2,3.6,7.1,-18.1,-21.7,20184,19.2,2.4,29.799999999999997,2.2,28.3
2020_19107,2020,IA,KEOKUK,-45.2,98.5,-30.8,-4.1,30.8,4.1,-10.3,-41.1,-45.2,5303,18.4,1,23.799999999999997,2.4,29.5
2020_19109,2020,IA,KOSSUTH,-39.5,98.8,-24,-3.4,24,3.4,-12.2,-36.1,-39.5,9090,18.2,1.7000000000000002,27.1,2.3,27.6
2020_19111,2020,IA,LEE,-19.5,97.7,-31.5,-3.5,31.5,3.5,15.5,-16,-19.5,16734,18.5,1.2,23.9,3.1,30.3
2020_19115,2020,IA,LOUISA,-33.4,98.1,-29,-5,29,5,0.6,-28.4,-33.4,5332,16.9,9.3,32.6,2.6,30
2020_19117,2020,IA,LUCAS,-43.4,98.9,-31.4,-5.8,31.4,5.8,-6.2,-37.6,-43.4,4630,16.6,2.9000000000000004,25.4,2,23.7
2020_19121,2020,IA,MADISON,-34.5,98.3,-19.1,-3.5,19.1,3.5,-11.9,-31.1,-34.5,9824,25.3,0.8,39.7,2.2,20.4
2020_19125,2020,IA,MARION,-34,98.3,-17.6,-3.3,17.6,3.3,-13.1,-30.8,-34,19232,30.8,1.9,33.5,1.6,27.6
2020_19131,2020,IA,MITCHELL,-28,98.5,-27.4,-4,27.4,4,3.4,-24,-28,5822,22.1,1.1,30.4,1,28.6
2020_19135,2020,IA,MONROE,-46.5,99.2,-33.2,-5.5,33.2,5.5,-7.7,-40.9,-46.5,4088,19.9,0.7000000000000001,29.799999999999997,3.2,23.8
2020_19137,2020,IA,MONTGOMERY,-39.1,98.5,-20.6,3,20.6,3,-21.5,-42.1,-39.1,5327,19.8,0.6,26.8,2.1,29.2
2020_19141,2020,IA,O'BRIEN,-57,98.5,-15,2.9,15,2.9,-44.9,-59.9,-57,7551,21.8,2.9000000000000004,28.000000000000004,1.2,28.1
2020_19151,2020,IA,POCAHONTAS,-49.7,98.5,-23.3,-4.7,23.3,4.7,-21.7,-45,-49.7,3823,15.9,3.1,25.1,2.6,26
2020_19155,2020,IA,POTTAWATTAMIE,-17,98.2,-16.1,4.3,16.1,4.3,-5.2,-21.3,-17,45744,21.9,3.9,30.1,2.8,34.9
2020_19157,2020,IA,POWESHIEK,-13.5,98.4,-15.9,-7,15.9,7,9.4,-6.5,-13.5,10140,28.1,2.6,25.3,3.3,33.6
2020_19159,2020,IA,RINGGOLD,-46.6,98.9,-32.6,-7,32.6,7,-7,-39.6,-46.6,2714,19.6,1,27,1.8,29
2020_19173,2020,IA,TAYLOR,-53.1,99,-30.6,-8.4,30.6,8.4,-14.1,-44.7,-53.1,3249,14.8,4.3,28.4,1.8,24.7
2020_19175,2020,IA,UNION,-31.7,98.4,-31.3,-4.3,31.3,4.3,3.9,-27.5,-31.7,6185,22.4,1.7000000000000002,22.5,2.9,26.8
2020_19177,2020,IA,VAN BUREN,-52.6,98.8,-28.7,-5.4,28.7,5.4,-18.5,-47.2,-52.6,3791,16.4,1.5,22.1,2.7,23.9
2020_19179,2020,IA,WAPELLO,-23.8,98.2,-32.5,-3.2,32.5,3.2,11.9,-20.6,-23.8,15633,19.7,7.9,19.3,3.1,33.8
2020_19185,2020,IA,WAYNE,-52,98.8,-34.5,-6.1,34.5,6.1,-11.4,-45.9,-52,3109,14.3,1,20.200000000000003,0.8,22.5
2020_19187,2020,IA,WEBSTER,-24.4,98.7,-27.4,-2.9,27.4,2.9,5.8,-21.5,-24.4,17822,21.1,2.7,23.7,1.9,38.1
2020_19191,2020,IA,WINNESHIEK,-5.4,98.5,-15.5,-4.6,15.5,4.6,14.7,-0.8,-5.4,12064,29.8,2,32.7,1.4,33.2
2020_19193,2020,IA,WOODBURY,-15.9,98.4,-20.5,3.6,20.5,3.6,1,-19.5,-15.9,45362,23.5,8.799999999999999,30.8,3.2,36.2
2020_19195,2020,IA,WORTH,-25.9,98.2,-36.2,-4.3,36.2,4.3,14.5,-21.7,-25.9,4418,18.2,0.8,30.6,2.3,29.2
2020_20001,2020,KS,ALLEN,-44.9,98.2,-13.4,-4.3,13.4,4.3,-27.3,-40.7,-44.9,5892,18.2,3,20.6,2.6,30
2020_20003,2020,KS,ANDERSON,-56.6,97.9,-12.4,-4,12.4,4,-40.2,-52.6,-56.6,3792,18.6,0.8999999999999999,24.6,2.8,30.7
2020_20005,2020,KS,ATCHISON,-34.2,97.6,-11.1,-2.9,11.1,2.9,-20.2,-31.3,-34.2,7440,20.8,1.7999999999999998,22.7,2.4,36.5
2020_20007,2020,KS,BARBER,-73.6,98.4,-13.7,-4.1,13.7,4.1,-55.7,-69.4,-73.6,2342,20.6,1.3,21.9,1.6,22.6
2020_20091,2020,KS,JOHNSON,8.2,97.9,14.8,10.9,14.8,10.9,-17.4,-2.6,8.2,347214,56.1,9,55.60000000000001,2.3,30.4
2020_20207,2020,KS,WOODSON,-60.4,98.4,-10.8,-4.4,10.8,4.4,-45.3,-56.1,-60.4,1546,20,0.2,16.3,4.6,26.5
2020_21011,2020,KY,BATH,-42.9,98.8,-25.3,-5.4,25.3,5.4,-12.3,-37.5,-42.9,5627,15.5,0.5,18.1,1.8,32
2020_21019,2020,KY,BOYD,-33.2,98.3,-20.7,3.8,20.7,3.8,-16.3,-37,-33.2,21741,20.2,1.2,23,4.1,29.5
2020_21023,2020,KY,BRACKEN,-61.2,98.9,-29.6,-4.3,29.6,4.3,-27.3,-56.9,-61.2,4244,12.5,0.3,30.3,2.8,23.8
2020_21041,2020,KY,CARROLL,-44.4,98.4,-28.4,-6,28.4,6,-10.1,-38.4,-44.4,4135,7.4,1.3,15,6.2,32.7
2020_21059,2020,KY,DAVIESS,-27.9,98.1,-11.1,4.3,11.1,4.3,-21.1,-32.2,-27.9,49240,24.4,3.1,26.1,2.7,29.7
2020_21063,2020,KY,ELLIOTT,-51.2,98.8,-46.6,-7.1,46.6,7.1,2.5,-44.1,-51.2,2995,9.3,0.3,11.7,0.5,34.5
2020_21069,2020,KY,FLEMING,-57.5,99.2,-21.6,-3.6,21.6,3.6,-32.3,-53.9,-57.5,7066,15.3,1,15.9,4.6,21.8
2020_21071,2020,KY,FLOYD,-51.2,98.7,-14.3,-2.9,14.3,2.9,-33.9,-48.2,-51.2,16351,11.9,0.4,10.3,3.9,26.2
2020_21077,2020,KY,GALLATIN,-55.4,98.1,-33.8,-4.7,33.8,4.7,-17,-50.7,-55.4,3849,9.6,2.4,26.3,3.5,29.8
2020_21091,2020,KY,HANCOCK,-39.1,98,-26.8,-3.2,26.8,3.2,-9.2,-35.9,-39.1,4587,14.2,1.1,27.200000000000003,2.9,27
2020_21099,2020,KY,HART,-53,98.6,-19.6,-3.6,19.6,3.6,-29.8,-49.4,-53,8369,11.4,0.8999999999999999,14.099999999999998,2.2,26
2020_21101,2020,KY,HENDERSON,-24.6,98.5,-15.8,3.1,15.8,3.1,-11.8,-27.7,-24.6,20688,18.2,1.3,22.6,2.2,26.9
2020_21107,2020,KY,HOPKINS,-48,98.5,-14,5.9,14,5.9,-39.9,-53.9,-48,21509,16.1,1.3,19.8,3.6,29
2020_21115,2020,KY,JOHNSON,-67.1,98.7,-11.5,3.8,11.5,3.8,-59.5,-71,-67.1,10192,15.5,1.4,12.9,3.8,25.4
2020_21135,2020,KY,LEWIS,-70.8,98.7,-25.9,-3.2,25.9,3.2,-41.6,-67.5,-70.8,5883,8.7,0.2,6.1,2.6,24.8
2020_21139,2020,KY,LIVINGSTON,-61.4,98.9,-19.1,-3.6,19.1,3.6,-38.6,-57.8,-61.4,5003,14.5,0.7000000000000001,24.4,3.2,19.3
2020_21143,2020,KY,LYON,-47.5,99.1,-17,-3.5,17,3.5,-27.1,-44,-47.5,4228,15.5,2,21.6,1.4,32.3
2020_21155,2020,KY,MARION,-38,99,-24.9,-7.9,24.9,7.9,-5.2,-30.1,-38,8928,14.3,1.7000000000000002,17.1,4.3,33.5
2020_21165,2020,KY,MENIFEE,-50.3,98.7,-30.4,-3.2,30.4,3.2,-16.8,-47.1,-50.3,3102,11.9,0.5,19.6,2.1,32.6
2020_21167,2020,KY,MERCER,-46.6,98.3,-11.7,3.9,11.7,3.9,-38.8,-50.5,-46.6,11735,18.7,2.7,24.1,3.5,29.6
2020_21169,2020,KY,METCALFE,-59.5,98.4,-24.5,-5.1,24.5,5.1,-29.9,-54.4,-59.5,5012,13.1,0.5,14.499999999999998,1.7,23.1
2020_21179,2020,KY,NELSON,-36.6,98.5,-17.1,-3,17.1,3,-16.5,-33.6,-36.6,23245,19.3,1.2,32.6,2.1,28.4
2020_21187,2020,KY,OWEN,-58.5,98.8,-21.4,-4.9,21.4,4.9,-32.3,-53.6,-58.5,5456,16.3,0.1,22.6,2.2,29.8
2020_21191,2020,KY,PENDLETON,-60.5,98.7,-26.6,-3.3,26.6,3.3,-30.7,-57.3,-60.5,6925,14.2,1.3,27,2.4,30.6
2020_21197,2020,KY,POWELL,-48.6,98.2,-19.6,-3.4,19.6,3.4,-25.6,-45.2,-48.6,5505,17.6,1,15,3.2,24.5
2020_22007,2020,LA,ASSUMPTION,-30.6,98.8,-13.4,-5.1,13.4,5.1,-12.1,-25.5,-30.6,11235,12.9,1.1,18,2.9,33.3
2020_23001,2020,ME,ANDROSCOGGIN,-2.8,95.8,-22.2,6.6,22.2,6.6,12.8,-9.4,-2.8,59361,22.7,3.5000000000000004,26.200000000000003,2.9,34.3
2020_23011,2020,ME,KENNEBEC,0.2,95.9,-17,3.8,17,3.8,13.5,-3.6,0.2,72615,29.3,2.3,26.5,2.3,31.2
2020_23017,2020,ME,OXFORD,-8.7,96,-27.7,4.2,27.7,4.2,14.7,-12.9,-8.7,33810,20.6,1.6,22,3.5,31.3
2020_23031,2020,ME,YORK,12.5,96.2,-11.6,7.7,11.6,7.7,16.3,4.8,12.5,131042,32.2,3.5000000000000004,37.4,2.3,28.6
2020_24001,2020,MD,ALLEGANY,-38.3,98.1,-12.1,5.4,12.1,5.4,-31.6,-43.7,-38.3,30641,19.3,2,21.8,3.7,41.4
2020_24011,2020,MD,CAROLINE,-32.8,97.4,-14.6,5.1,14.6,5.1,-23.4,-38,-32.8,15794,19,6.3,29.4,3.1,35.5
2020_24015,2020,MD,CECIL,-26.6,97.4,-14.2,7,14.2,7,-19.4,-33.6,-26.6,47462,25.3,3.9,45.8,3.4,32.2
2020_24027,2020,MD,HOWARD,44.3,97.1,12,10.3,12,10.3,22,34,44.3,183062,62.7,21.2,81.5,2.7,31.8
2020_24031,2020,MD,MONTGOMERY,59.6,97.6,11.5,4.3,11.5,4.3,43.9,55.4,59.6,533743,59.2,32.2,71.7,3.3,33.5
2020_24039,2020,MD,SOMERSET,-14.8,98.4,-13.5,-3.2,13.5,3.2,1.9,-11.6,-14.8,10147,15.8,3.7,18.2,4.4,49.7
2020_24043,2020,MD,WASHINGTON,-20.9,97.8,-12.5,9.2,12.5,9.2,-17.6,-30.1,-20.9,67779,22.4,5,33,3.3,37.3
2020_25003,2020,MA,BERKSHIRE,46.9,97.2,-12.2,5.4,12.2,5.4,53.6,41.5,46.9,71771,35.3,5.6000000000000005,31.9,3.2,36.8
2020_25017,2020,MA,MIDDLESEX,44.9,97.1,11.2,6.6,11.2,6.6,27.1,38.3,44.9,869347,57.1,21.3,67.2,2.9,38.9
2020_25021,2020,MA,NORFOLK,36,97,13,7.8,13,7.8,15.2,28.2,36,411042,54.6,18.5,66.5,3.1,34.7
2020_26013,2020,MI,BARAGA,-25.6,98.8,-20.3,3.1,20.3,3.1,-8.4,-28.7,-25.6,4038,15.2,1.2,19.5,1.8,43
2020_26035,2020,MI,CLARE,-34.8,98.6,-27,-3,27,3,-4.8,-31.8,-34.8,16281,12.1,1.1,15.1,4.9,28
2020_26071,2020,MI,IRON,-25.4,98.8,-19.3,2.9,19.3,2.9,-9,-28.3,-25.4,6789,18.9,1.1,17.5,2.5,28.7
2020_26085,2020,MI,LAKE,-26.2,98.6,-27.9,-3.3,27.9,3.3,5,-22.9,-26.2,6323,13.5,1,12.9,2.4,23.2
2020_26097,2020,MI,MACKINAC,-23.8,98.9,-15,3.4,15,3.4,-12.2,-27.2,-23.8,7015,24,3.5000000000000004,22.2,4.9,29.7
2020_26099,2020,MI,MACOMB,-8.1,98.7,-15.5,3.5,15.5,3.5,4,-11.5,-8.1,494256,25.9,11.5,33.900000000000006,3.6,35.7
2020_26117,2020,MI,MONTCALM,-37.7,98.2,-25.3,-3.8,25.3,3.8,-8.6,-33.9,-37.7,32100,14.5,1.4,24.1,2.3,29.2
2020_26129,2020,MI,OGEMAW,-40.1,98.5,-30.3,-3.6,30.3,3.6,-6.2,-36.6,-40.1,11907,12.3,1.2,15.6,3.7,24.9
2020_26137,2020,MI,OTSEGO,-34.1,98.4,-17.9,3.4,17.9,3.4,-19.7,-37.6,-34.1,14757,25.6,1.7000000000000002,26.9,3.3,30.8
2020_26153,2020,MI,SCHOOLCRAFT,-31.6,98.6,-21.7,-3.1,21.7,3.1,-6.8,-28.6,-31.6,4745,18.9,0.8,21,3.6,25.7
2020_27007,2020,MN,BELTRAMI,-3.2,97.6,-19.6,6.6,19.6,6.6,9.9,-9.7,-3.2,24189,29.9,1.7000000000000002,22.6,3.8,43
2020_27009,2020,MN,BENTON,-31.9,97.3,-22.4,4.2,22.4,4.2,-13.6,-36.1,-31.9,22260,23.1,4.2,30.7,2.4,34.7
2020_27013,2020,MN,BLUE EARTH,4.4,97.3,-13.2,8.1,13.2,8.1,9.5,-3.7,4.4,36051,34.6,5.4,31.1,2.8,47.5
2020_27015,2020,MN,BROWN,-32.8,97.7,-19.3,3.1,19.3,3.1,-16.6,-35.9,-32.8,14635,22.6,2.5,30.1,1.6,28.7
2020_27033,2020,MN,COTTONWOOD,-38.2,98.2,-19.9,-3.2,19.9,3.2,-15.1,-35,-38.2,6107,20.7,6.4,23.1,3,30
2020_27049,2020,MN,GOODHUE,-14.8,97.3,-14.9,3,14.9,3,-3,-17.9,-14.8,28636,26.2,2.6,37.7,2.4,27.9
2020_27057,2020,MN,HUBBARD,-28.8,97.7,-16.5,4.5,16.5,4.5,-16.9,-33.4,-28.8,12965,28.4,1.4,28.999999999999996,2.3,25.1
2020_27089,2020,MN,MARSHALL,-47.4,98.1,-29,-6.3,29,6.3,-12.2,-41.2,-47.4,5113,18.5,1.5,31,1.3,28.1
2020_27091,2020,MN,MARTIN,-37.9,98,-17.4,3.2,17.4,3.2,-23.7,-41.1,-37.9,11009,21.7,1.5,25.3,2.9,25.2
2020_27101,2020,MN,MURRAY,-39.1,98.3,-28.8,-3.1,28.8,3.1,-7.2,-36,-39.1,4896,20.8,3.1,32.5,1.8,27.4
2020_27103,2020,MN,NICOLLET,3.2,97.5,-10.9,6.2,10.9,6.2,7.8,-3,3.2,19125,34.4,4.2,37.6,1.7,38
2020_27111,2020,MN,OTTER TAIL,-32.5,98.2,-14.5,3.2,14.5,3.2,-21.1,-35.7,-32.5,36399,25.9,2.6,29.799999999999997,2.5,24.7
2020_27115,2020,MN,PINE,-30.2,98,-25.5,-4.1,25.5,4.1,-0.7,-26.1,-30.2,16001,15.3,1.3,26.700000000000003,3.4,34.9
2020_27131,2020,MN,RICE,-0.2,97.7,-11.3,2.9,11.3,2.9,8.3,-3.1,-0.2,35686,28.5,7.6,38.7,3.3,38.7
2020_27133,2020,MN,ROCK,-38.7,98.1,-17.7,-3.2,17.7,3.2,-17.8,-35.5,-38.7,5240,23.8,2.5,34.8,1.2,26.2
2020_27137,2020,MN,SAINT LOUIS,15.6,97.6,-17.9,3.9,17.9,3.9,29.6,11.7,15.6,119531,30.1,2.3,28.199999999999996,3,37.9
2020_27141,2020,MN,SHERBURNE,-32.6,97.6,-14.7,4.1,14.7,4.1,-22,-36.8,-32.6,55612,25.7,3.5999999999999996,53.2,1.7,35.2
2020_27145,2020,MN,STEARNS,-22.5,97.6,-15.6,5.2,15.6,5.2,-12.1,-27.7,-22.5,84835,27.8,6.3,34.4,3.5,39.7
2020_27147,2020,MN,STEELE,-22.4,97.4,-19.6,3.4,19.6,3.4,-6.3,-25.8,-22.4,21128,26.8,4.6,36.8,2.5,30
2020_27149,2020,MN,STEVENS,-22.1,97.7,-12.2,-9.4,12.2,9.4,-0.4,-12.7,-22.1,5085,29.8,6.2,34.599999999999994,1.7,36.8
2020_27151,2020,MN,SWIFT,-29.5,98.2,-35.4,-3.9,35.4,3.9,9.8,-25.6,-29.5,5193,21.5,3.2,25,2.1,28.6
2020_27155,2020,MN,TRAVERSE,-27.4,98.3,-27.7,-4.1,27.7,4.1,4.4,-23.3,-27.4,1864,15.8,1.6,23.200000000000003,2.9,23.5
2020_27169,2020,MN,WINONA,0.4,97.7,-15.8,3.3,15.8,3.3,12.9,-2.9,0.4,27173,31.3,3.4000000000000004,30.2,2.3,43.8
2020_27171,2020,MN,WRIGHT,-28.6,97.5,-11.2,4.4,11.2,4.4,-21.7,-33,-28.6,82426,31,2.8000000000000003,52.5,2,29.9
2020_28009,2020,MS,BENTON,-20.8,99.1,-13.5,-7.5,13.5,7.5,0.2,-13.3,-20.8,4289,10.1,5.4,14.000000000000002,1.3,27
2020_28137,2020,MS,TATE,-34.6,98.4,-11.4,-3.9,11.4,3.9,-19.3,-30.7,-34.6,13093,17.2,1.3,26.8,3,32.8
2020_29007,2020,MO,AUDRAIN,-47.2,97.9,-17.2,-3.3,17.2,3.3,-26.6,-43.8,-47.2,10656,14.3,2,18,2.9,36.2
2020_29013,2020,MO,BATES,-58.5,98.3,-22.9,-3.9,22.9,3.9,-31.7,-54.6,-58.5,8416,14.8,1.1,19.6,3,26.9
2020_29025,2020,MO,CALDWELL,-60.4,98.7,-21.7,-4.9,21.7,4.9,-33.8,-55.5,-60.4,4682,15,0.8999999999999999,23.4,1.8,25.7
2020_29035,2020,MO,CARTER,-70.2,99,-22.7,-3.8,22.7,3.8,-43.7,-66.4,-70.2,2897,15.2,0,16.1,2.1,28
2020_29045,2020,MO,CLARK,-58.8,98.7,-43.6,-4.8,43.6,4.8,-10.3,-53.9,-58.8,3394,12.2,1.6,18.9,1.8,25.9
2020_29061,2020,MO,DAVIESS,-60.2,98.4,-23.6,-3.5,23.6,3.5,-33.1,-56.7,-60.2,3911,20.8,0.8999999999999999,23.9,1.3,24.7
2020_29069,2020,MO,DUNKLIN,-57,99.2,-23.4,-3.4,23.4,3.4,-30.2,-53.6,-57,10419,13.9,2.9000000000000004,12.6,4.1,32.8
2020_29075,2020,MO,GENTRY,-60.8,98.7,-20.8,-5,20.8,5,-35,-55.8,-60.8,3237,20.3,1.1,19.6,1.7,34.7
2020_29081,2020,MO,HARRISON,-68,99.2,-20.4,-3.2,20.4,3.2,-44.4,-64.8,-68,3826,15.7,1.3,14.7,1.8,31.1
2020_29085,2020,MO,HICKORY,-57.3,98.9,-29.9,-3.8,29.9,3.8,-23.5,-53.5,-57.3,5080,8.5,0.8999999999999999,8.9,3.7,19.1
2020_29087,2020,MO,HOLT,-69.9,98.8,-16.2,-2.9,16.2,2.9,-50.8,-67,-69.9,2343,18.2,1,19.3,1.5,21.3
